sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
10.0,XXXXX,177.4,50.0,127.0,41.6,1.9505019712320926,27 May 2022,0.5602462620932278,0.16557161629434958,5387.0,65.0
11.0,bordeux,155.33333333333334,35.0,111.0,23.333333333333332,1.6076354811515425,11 Apr 2022,0.6322241681260946,0.16645807259073844,4877.0,74.0
11.0,bordeux,213.875,33.125,147.25,26.25,2.1005501522862544,16 May 2022,0.7317813765182186,0.18449290411907235,4877.0,74.0
11.0,bordeux,150.0,75.0,119.25,35.75,0.67385375883699,18 Mar 2022,0.3333333333333333,0.11420612813370473,4877.0,74.0
11.0,bordeux,285.6666666666667,47.166666666666664,204.16666666666666,30.0,1.7174752815205458,27 May 2022,0.7165748622934401,0.16638312351139847,4877.0,74.0
12.0,BLT 34-15,182.0,32.666666666666664,122.66666666666667,21.666666666666668,1.749592676389596,11 Apr 2022,0.6956521739130436,0.1947483588621444,4111.0,96.5
12.0,BLT 34-15,285.7142857142857,52.857142857142854,182.42857142857142,49.0,2.465679829308655,16 May 2022,0.6877637130801688,0.2206286237412268,4111.0,96.5
12.0,BLT 34-15,172.33333333333334,75.5,133.66666666666666,36.0,0.7765928727847639,18 Mar 2022,0.390719569603228,0.12636165577342054,4111.0,96.5
12.0,BLT 34-15,128.6,32.8,87.8,25.8,1.8570883227723471,27 May 2022,0.593556381660471,0.18853974121996303,4111.0,96.5
13.0,agaton,127.0,43.666666666666664,94.0,24.666666666666668,1.139398951675833,11 Apr 2022,0.48828125000000006,0.1493212669683258,3340.0,85.0
13.0,agaton,289.875,44.75,187.875,36.125,2.0989644728670735,16 May 2022,0.7325364213672021,0.21350078492935637,3340.0,85.0
13.0,agaton,156.8,83.0,123.0,37.6,0.5782634663024773,18 Mar 2022,0.3077564637197665,0.12080057183702649,3340.0,85.0
13.0,agaton,110.8,20.0,71.4,15.2,2.0748355017374713,27 May 2022,0.6941896024464831,0.21624588364434683,3340.0,85.0
14.0,BLT 8-15,198.66666666666666,42.0,137.66666666666666,29.333333333333332,1.7160704730286438,11 Apr 2022,0.6509695290858726,0.18136769078295342,4500.0,141.5
14.0,BLT 8-15,153.22222222222223,51.666666666666664,123.0,41.333333333333336,1.64587199273371,16 May 2022,0.49566160520607383,0.1094127111826227,4500.0,141.5
14.0,BLT 8-15,163.6,80.4,132.4,38.8,0.6795091332009915,18 Mar 2022,0.34098360655737703,0.10540540540540537,4500.0,141.5
14.0,BLT 8-15,129.0,36.0,97.42857142857143,28.142857142857142,1.8028022594572204,27 May 2022,0.5636363636363636,0.1394321766561514,4500.0,141.5
15.0,pop au,119.0,46.333333333333336,92.33333333333333,28.333333333333332,1.0931257672392192,11 Apr 2022,0.439516129032258,0.12618296529968456,388.0,116.0
15.0,pop au,186.85714285714286,44.857142857142854,143.28571428571428,35.142857142857146,1.7990745257682776,16 May 2022,0.6128236744759555,0.13197749891821728,388.0,116.0
15.0,pop au,115.8,91.0,98.2,40.6,0.29248445661429445,18 Mar 2022,0.11992263056092842,0.08224299065420558,388.0,116.0
15.0,pop au,163.0,44.666666666666664,124.16666666666667,32.5,1.5414064809803385,27 May 2022,0.5698234349919744,0.13522925130586183,388.0,116.0
16.0,BLT 8-15,187.33333333333334,28.333333333333332,124.66666666666667,23.333333333333332,2.1871384450459876,11 Apr 2022,0.7372488408037093,0.20085470085470086,4028.0,104.5
16.0,BLT 8-15,239.5,57.5,167.33333333333334,49.0,2.095211592374333,16 May 2022,0.6127946127946128,0.1773863170831626,4028.0,104.5
16.0,BLT 8-15,168.4,73.0,124.2,36.0,0.7679399231430655,18 Mar 2022,0.3951946975973488,0.15105946684894053,4028.0,104.5
16.0,BLT 8-15,134.66666666666666,35.5,92.0,27.166666666666668,1.7424957134074097,27 May 2022,0.5827619980411362,0.18823529411764703,4028.0,104.5
17.0,agaton,170.66666666666666,31.0,122.0,24.0,2.0278204846158534,11 Apr 2022,0.6925619834710743,0.1662870159453303,3755.0,88.0
17.0,agaton,208.5,35.375,134.5,27.25,2.0021735454171843,16 May 2022,0.7098923628908252,0.21574344023323616,3755.0,88.0
17.0,agaton,168.2,83.8,132.0,38.2,0.6467013988886116,18 Mar 2022,0.3349206349206349,0.12058627581612255,3755.0,88.0
17.0,agaton,145.83333333333334,32.0,99.0,21.0,1.5858384186894063,27 May 2022,0.6401124648547329,0.19128658951667804,3755.0,88.0
18.0,BLT 8-15,191.33333333333334,36.333333333333336,134.0,28.0,1.974158502606616,11 Apr 2022,0.6808199121522693,0.1762295081967213,4780.0,144.5
18.0,BLT 8-15,172.0,55.111111111111114,134.44444444444446,42.0,1.5343412431300394,16 May 2022,0.5146771037181996,0.12255257432922403,4780.0,144.5
18.0,BLT 8-15,179.0,76.2,142.0,39.4,0.8423188995234717,18 Mar 2022,0.40282131661442006,0.11526479750778816,4780.0,144.5
18.0,BLT 8-15,182.5,56.5,142.33333333333334,42.333333333333336,1.5879040900605945,27 May 2022,0.5271966527196653,0.12365315546434065,4780.0,144.5
19.0,pop au,131.33333333333334,39.333333333333336,88.33333333333333,22.666666666666668,1.318220823798627,11 Apr 2022,0.5390624999999999,0.1957511380880122,1240.0,116.0
19.0,pop au,181.14285714285714,57.42857142857143,139.0,46.857142857142854,2.1222816201145505,16 May 2022,0.518562874251497,0.13163766175814368,1240.0,116.0
19.0,pop au,154.4,102.0,127.2,45.2,0.3985592946470441,18 Mar 2022,0.20436817472698912,0.09659090909090909,1240.0,116.0
20.0,iso cell,114.0,45.0,87.33333333333333,23.666666666666668,0.8978009036891182,11 Apr 2022,0.4339622641509434,0.13245033112582785,2035.0,66.0
20.0,iso cell,119.14285714285714,43.714285714285715,97.28571428571429,25.285714285714285,1.018586539204703,16 May 2022,0.46315789473684205,0.10099009900990094,2035.0,66.0
20.0,iso cell,158.6,93.6,130.6,43.2,0.5019769469271652,18 Mar 2022,0.2577319587628866,0.09681881051175657,2035.0,66.0
20.0,iso cell,196.0,73.2,169.0,34.2,0.8539739760492472,27 May 2022,0.4561664190193165,0.07397260273972603,2035.0,66.0
